年度,月份,郵遞區號,行政區,用電種類,用戶數,契約容量,售電度數(當月),售電度數(當年累計)
104,12,110,信義區,11低壓裝置電力　　　　　,24,241,"30,990",438669
104,12,110,信義區,12低壓需量電力　　　　　,＊,630,"144,720",1558918
104,12,110,信義區,13低壓電力小計　　　　　,**,871,"175,710",1997587
104,12,110,信義區,14高壓電力　　　　　　　,145,"206,308","60,010,687",761341539
104,12,110,信義區,15特高壓電力　　　　　　,＊,"6,900","2,731,200",37003200
104,12,110,信義區,16高＆特高壓電力小計　　,**,"213,208","62,741,887",798344739
104,12,110,信義區,17電力小計　　　　　　　,**,"214,079","62,917,597",800342326
104,12,110,信義區,18綜合＆電力小計　　　　,**,"264,522","72,379,502",926502545
104,12,110,信義區,19電燈＆綜合＆電力小計　,**,"277,790","101,894,376",1508619558
104,12,110,信義區,20臨時電燈　　　　　　　,9,0,8792,62192
104,12,110,信義區,21臨時電力　　　　　　　,24,"2,649","414,087",5455859
104,12,110,信義區,22臨時用電小計　　　　　,**,"2,649","422,879",5518051
104,12,110,信義區,23總計（含臨時用電）　　,**,"277,790","102,317,255",1514137609
104,12,110,信義區,24表燈合計　　　　　　　,**,"13,268","29,523,666",582179205
104,12,110,信義區,25綜合＆電力合計　　　　,**,"264,522","72,793,589",931958404
104,12,111,士林區,1表燈非營業用　　　　,"106,574","1,766","34,629,866",526596212
104,12,111,士林區,2表燈營業用　　　　　　,"9,689","16,772","11,603,397",185457194
104,12,111,士林區,3表燈小計　　　　　　　,**,"18,538","46,233,263",712053406
104,12,111,士林區,4低壓綜合裝置非營業用　,＊,0,0,0
104,12,111,士林區,5低壓綜合需量非營業用　,634,"23,818","3,292,195",43299509
104,12,111,士林區,6低壓綜合非營業用電小計,**,"23,818","3,292,195",43299509
104,12,111,士林區,7低壓綜合裝置營業用　　,＊,47,"5,570",74304
104,12,111,士林區,8低壓綜合需量營業用　　,823,"30,255","6,211,934",83003949
104,12,111,士林區,9低壓綜合營業用電小計　,**,"30,302","6,217,504",83078253
104,12,111,士林區,10低壓綜合用電小計　　　,**,"54,120","9,509,699",126377762
104,12,111,士林區,11低壓裝置電力　　　　　,114,"1,489","144,877",2044862
104,12,111,士林區,12低壓需量電力　　　　　,118,"5,381","788,625",10215547
104,12,111,士林區,13低壓電力小計　　　　　,**,"6,870","933,502",12260409
104,12,111,士林區,14高壓電力　　　　　　　,139,"96,652","25,196,410",337753942
104,12,111,士林區,15特高壓電力　　　　　　,＊,0,0,0
104,12,111,士林區,16高＆特高壓電力小計　　,**,"96,652","25,196,410",337753942
104,12,111,士林區,17電力小計　　　　　　　,**,"103,522","26,129,912",350014351
104,12,111,士林區,18綜合＆電力小計　　　　,**,"157,642","35,639,611",476392113
104,12,111,士林區,19電燈＆綜合＆電力小計　,**,"176,180","81,872,874",1188445519
104,12,111,士林區,20臨時電燈　　　　　　　,62,0,"118,622",920359
104,12,111,士林區,21臨時電力　　　　　　　,22,"1,377","281,538",4050395
104,12,111,士林區,22臨時用電小計　　　　　,**,"1,377","400,160",4970754
104,12,111,士林區,23總計（含臨時用電）　　,**,"176,180","82,273,034",1193416273
104,12,111,士林區,24表燈合計　　　　　　　,**,"18,538","46,351,885",712973765
104,12,111,士林區,25綜合＆電力合計　　　　,**,"157,642","35,921,149",480442508
104,12,112,北投區,1表燈非營業用　　　　,"93,224",920,"37,747,069",390212898
104,12,112,北投區,2表燈營業用　　　　　　,"5,897","8,728","12,764,036",113822902
104,12,112,北投區,3表燈小計　　　　　　　,**,"9,648","50,511,105",504035800
104,12,112,北投區,4低壓綜合裝置非營業用　,＊,0,0,0
104,12,112,北投區,5低壓綜合需量非營業用　,609,"19,936","2,724,520",35188517
104,12,112,北投區,6低壓綜合非營業用電小計,**,"19,936","2,724,520",35188517
104,12,112,北投區,7低壓綜合裝置營業用　　,＊,70,"1,440",28440
104,12,112,北投區,8低壓綜合需量營業用　　,432,"21,641","4,763,057",61978414
104,12,112,北投區,9低壓綜合營業用電小計　,**,"21,711","4,764,497",62006854
104,12,112,北投區,10低壓綜合用電小計　　　,**,"41,647","7,489,017",97195371
104,12,112,北投區,11低壓裝置電力　　　　　,66,801,"88,391",1063441
104,12,112,北投區,12低壓需量電力　　　　　,95,"4,947","842,784",9202025
104,12,112,北投區,13低壓電力小計　　　　　,**,"5,748","931,175",10265466
104,12,112,北投區,14高壓電力　　　　　　　,122,"95,960","30,889,338",412074917
104,12,112,北投區,15特高壓電力　　　　　　,＊,"10,537","4,645,533",59916626
104,12,112,北投區,16高＆特高壓電力小計　　,**,"106,497","35,534,871",471991543
104,12,112,北投區,17電力小計　　　　　　　,**,"112,245","36,466,046",482257009
104,12,112,北投區,18綜合＆電力小計　　　　,**,"153,892","43,955,063",579452380
104,12,112,北投區,19電燈＆綜合＆電力小計　,**,"163,540","94,466,168",1083488180
104,12,112,北投區,20臨時電燈　　　　　　　,49,0,"52,786",636132
104,12,112,北投區,21臨時電力　　　　　　　,54,"2,871","362,779",5743862
104,12,112,北投區,22臨時用電小計　　　　　,**,"2,871","415,565",6379994
104,12,112,北投區,23總計（含臨時用電）　　,**,"163,540","94,881,733",1089868174
104,12,112,北投區,24表燈合計　　　　　　　,**,"9,648","50,563,891",504671932
104,12,112,北投區,25綜合＆電力合計　　　　,**,"153,892","44,317,842",585196242
104,12,114,內湖區,1表燈非營業用　　　　,"102,840",473,"30,343,978",458746584
104,12,114,內湖區,2表燈營業用　　　　　　,"12,895","18,128","10,581,277",340544240
104,12,114,內湖區,3表燈小計　　　　　　　,**,"18,601","40,925,255",799290824
104,12,114,內湖區,4低壓綜合裝置非營業用　,＊,0,0,0
104,12,114,內湖區,5低壓綜合需量非營業用　,"1,133","50,870","8,042,545",103843080
104,12,114,內湖區,6低壓綜合非營業用電小計,**,"50,870","8,042,545",103843080
104,12,114,內湖區,7低壓綜合裝置營業用　　,＊,0,0,0
104,12,114,內湖區,8低壓綜合需量營業用　　,"1,753","110,861","24,035,158",303365031
104,12,114,內湖區,9低壓綜合營業用電小計　,**,"110,861","24,035,158",303365031
104,12,114,內湖區,10低壓綜合用電小計　　　,**,"161,731","32,077,703",407208111
104,12,114,內湖區,11低壓裝置電力　　　　　,23,202,"8,688",149565
104,12,114,內湖區,12低壓需量電力　　　　　,345,"12,700","2,423,558",30186297
104,12,114,內湖區,13低壓電力小計　　　　　,**,"12,902","2,432,246",30335862
104,12,114,內湖區,14高壓電力　　　　　　　,162,"139,278","48,995,372",624113096
104,12,114,內湖區,15特高壓電力　　　　　　,＊,"11,404","4,483,600",54147200
104,12,114,內湖區,16高＆特高壓電力小計　　,**,"150,682","53,478,972",678260296
104,12,114,內湖區,17電力小計　　　　　　　,**,"163,584","55,911,218",708596158
104,12,114,內湖區,18綜合＆電力小計　　　　,**,"325,315","87,988,921",1115804269
104,12,114,內湖區,19電燈＆綜合＆電力小計　,**,"343,916","128,914,176",1915095093
104,12,114,內湖區,20臨時電燈　　　　　　　,24,0,"4,601",268223
104,12,114,內湖區,21臨時電力　　　　　　　,60,"3,916","560,207",7220666
104,12,114,內湖區,22臨時用電小計　　　　　,**,"3,916","564,808",7488889
104,12,114,內湖區,23總計（含臨時用電）　　,**,"343,916","129,478,984",1922583982
104,12,114,內湖區,24表燈合計　　　　　　　,**,"18,601","40,929,856",799559047
104,12,114,內湖區,25綜合＆電力合計　　　　,**,"325,315","88,549,128",1123024935
104,12,115,南港區,1表燈非營業用　　　　,"43,881",65,"7,267,609",180018259
104,12,115,南港區,2表燈營業用　　　　　　,"4,331","5,568","3,146,627",83847510
104,12,115,南港區,3表燈小計　　　　　　　,**,"5,633","10,414,236",263865769
104,12,115,南港區,4低壓綜合裝置非營業用　,＊,0,0,0
104,12,115,南港區,5低壓綜合需量非營業用　,356,"13,647","1,949,549",24761204
