seqno,type,city,countycode,name,localcallservice,address
168,環保餐廳,新北市,65000,"Q Burger新莊新豐店",02-22010220,新北市新莊區新豐街25號1樓
169,環保餐廳,新北市,65000,"Q Burger新莊裕民店",02-29015532,新北市新莊區裕民街128號
170,環保餐廳,新北市,65000,"Q Burger新莊輔大店",02-29015291,新北市新莊區福營路93號
171,環保餐廳,新北市,65000,"Q Burger新莊頭前店",02-85213381,新北市新莊區頭前里化成路319號
172,環保餐廳,新北市,65000,"Q Burger新莊雙鳳店",02-29081680,新北市新莊區雙鳳路23號1樓
173,環保餐廳,新北市,65000,"Q Burger樹林三福店",02-26880015,新北市樹林區三福街144號
174,環保餐廳,新北市,65000,"Q Burger樹林千歲店",02-26851910,新北市樹林區千歲街12號
175,環保餐廳,新北市,65000,"Q Burger樹林大有店",02-26800083,新北市樹林區大有路118號
176,環保餐廳,新北市,65000,"Q Burger樹林太順店",02-86860151,新北市樹林區太順街47號
177,環保餐廳,新北市,65000,"Q Burger樹林日新店",02-26852697,新北市樹林區日新街67號
178,環保餐廳,新北市,65000,"Q Burger樹林育英店",02-26851719,新北市樹林區育英街146號
179,環保餐廳,新北市,65000,"Q Burger樹林保安店",02-26889990,新北市樹林區保安街二段115號1樓
180,環保餐廳,新北市,65000,"Q Burger蘆洲三民店",02-28480213,新北市蘆洲區民族路429號
181,環保餐廳,新北市,65000,"Q Burger蘆洲中山店",02-22885811,新北市蘆洲區中山二路179號1樓
182,環保餐廳,新北市,65000,"Q Burger蘆洲中原店",02-22831717,新北市蘆洲區中原路24號
183,環保餐廳,新北市,65000,"Q Burger蘆洲中興店",02-82857757,新北市蘆洲區中興街181號
184,環保餐廳,新北市,65000,"Q Burger蘆洲民族店",02-22888383,新北市蘆洲區民族路357號
185,環保餐廳,新北市,65000,"Q Burger蘆洲永平店",02-82828616,新北市蘆洲區永平街32巷15號一樓
186,環保餐廳,新北市,65000,"Q Burger蘆洲光華店",02-22853131,新北市蘆洲區中正路185巷31弄1號
187,環保餐廳,新北市,65000,"Q Burger蘆洲成功店",02-22880695,新北市蘆洲區長安街268號
188,環保餐廳,新北市,65000,"Q Burger蘆洲長安店",02-22882985,新北市蘆洲區長安街53號
189,環保餐廳,新北市,65000,"Q Burger蘆洲長興店",02-22882835,新北市蘆洲區長興路265號
190,環保餐廳,新北市,65000,"Q Burger蘆洲信義店",02-28487578,新北市蘆洲區信義路245號
191,環保餐廳,新北市,65000,"Q Burger蘆洲復興店",02-82859155,新北市蘆洲區復興路83號
192,環保餐廳,新北市,65000,"Q Burger蘆洲鷺江店",02-22880500,新北市蘆洲區鷺江街95號
193,環保餐廳,新北市,65000,"Q Burger鶯歌南雅店",02-86776886,新北市鶯歌區南雅路447號1樓
194,環保餐廳,新北市,65000,SKYLARK加州風洋食館-新店家樂福店,-,新北市新店區中興路3段1號7樓
195,環保餐廳,新北市,65000,"TGIFridays環球餐廳 中和環球",02-22253578,新北市中和區中山路三段122號4樓
196,環保餐廳,新北市,65000,TINA廚房－鶯歌店,02-26772859,新北市鶯歌區尖山路5號
197,環保餐廳,新北市,65000,YAYOI彌生軒-環球板橋車站店,02-89693056,新北市板橋區縣民大道二段7號2樓
198,環保餐廳,新北市,65000,一幻拉麵/胡同居酒屋-環球板橋車站店,02-89693132,新北市板橋區縣民大道二段7號2F
199,環保餐廳,新北市,65000,九如-中和環球,02-22218223,新北市中和區中山路三段122號
200,環保餐廳,新北市,65000,八方雲集三重三民店,02-29887158,新北市三重區三民街285號1樓
201,環保餐廳,新北市,65000,八王子,02-77054168,新北市板橋區新站路28號
202,環保餐廳,新北市,65000,"八色烤肉mini 中和環球",02-22235005,新北市中和區中山路三段122號3樓
203,環保餐廳,新北市,65000,八町目燒肉丼定食-板橋大遠百,0910409716,新北市板橋區新站路28號B1
204,環保餐廳,新北市,65000,"八番赤野 中和環球",0989799741,新北市中和區中山路三段122號3樓
205,環保餐廳,新北市,65000,三才靈芝生態農場民宿,02-26633995,新北市石碇區中民村十八重溪52-1號
206,環保餐廳,新北市,65000,三合院。早午餐,02-86666087,新北市新店區安康路一段227號
207,環保餐廳,新北市,65000,"三年五班 中和環球",0902356950,新北市中和區中山路三段122號B2樓
208,環保餐廳,新北市,65000,三葉活海鮮餐廳,02-24923132,新北市萬里區港東路74-16號
209,環保餐廳,新北市,65000,下港老麵攤,02-29919292,新北市新莊區中港路457號1樓
210,環保餐廳,新北市,65000,上環茶餐廳,02-29202088,新北市永和區中山路一段126號
211,環保餐廳,新北市,65000,上癮河粉(板橋大遠百),02-77553567,新北市板橋區新站路28號B1
212,環保餐廳,新北市,65000,"丸?製麵 中和環球",0800000063,新北市中和區中山路三段122號3樓
213,環保餐廳,新北市,65000,土司工坊,02-29589671,新北市板橋區新站路28號
214,環保餐廳,新北市,65000,"大心 中和環球店",02-22216389,新北市中和區中山路三段122號B2樓
215,環保餐廳,新北市,65000,大戶屋中和環球店,02-22216266,新北市中和區中山路三段122號B2樓
216,環保餐廳,新北市,65000,大戶屋永和比漾店,02-22315658,新北市永和區中山路一段238號3樓
217,環保餐廳,新北市,65000,大戶屋板橋愛買店,02-29513303,新北市板橋區貴興路101號3樓
218,環保餐廳,新北市,65000,大戶屋板橋遠百中山店,02-29561238,新北市板橋區中山路一段152號12樓
219,環保餐廳,新北市,65000,大戶屋新店小碧潭店,02-89137968,新北市新店區中央路157號5樓
220,環保餐廳,新北市,65000,大戶屋新店家樂福店,02-29113199,新北市新店區中興路三段1號6樓
221,環保餐廳,新北市,65000,大戶屋新莊佳瑪店,02-29920355,新北市新莊區幸福路736號B1
222,環保餐廳,新北市,65000,大戶屋蘆洲家樂福店,02-82871080,新北市三重區五華街282號4樓
223,環保餐廳,新北市,65000,大吃一斤活蝦餐廳,0975147848,新北市三重區自強路一段222號
224,環保餐廳,新北市,65000,女皇餐廳,02-24922049,新北市萬里區港東路163號
225,環保餐廳,新北市,65000,"小南門傳統美食 中和環球",02-77313631,新北市中和區中山路三段122號3樓
